2013,1,1,Announcement: A new journal from AIP Publishing—APL Materials,Mark M. Cassar,2013-06-28,2013-06-28,2013-07-18
2013,4,6,Toughness enhancement in hard ceramic thin films by alloy design,"H. Kindlund, D. G. Sangiovanni, L. Martínez-de-Olcoz, J. Lu, J. Jensen, J. Birch, I. Petrov, J. E. Greene, V. Chirita, L. Hultman",2013-06-05,2013-08-27,2013-10-02
2013,4,7,Scanning transmission electron microscopy investigations of self-forming diffusion barrier formation in Cu(Mn) alloys on SiO2,"J. G. Lozano, J. Bogan, P. Casey, A. P. McCoy, G. Hughes, P. D. Nellist",2013-07-04,2013-08-31,2013-10-02
2013,4,8,Room-temperature ferromagnetism in nanocrystalline Cu/Cu2O core-shell structures prepared by magnetron sputtering,"Hao-Bo Li, Xinjian Xie, Weichao Wang, Yahui Cheng, Wei-Hua Wang, Luyan Li, Hui Liu, Gehui Wen, Rongkun Zheng",2013-06-13,2013-09-19,2013-10-03
2013,4,9,Charge doping of graphene in metal/graphene/dielectric sandwich structures evaluated by C-1s core level photoemission spectroscopy,"Arjun Dahal, Rafik Addou, Horacio Coy-Diaz, James Lallo, Matthias Batzill",2013-06-18,2013-09-03,2013-10-03
2013,4,10,Heavily loaded ferrite-polymer composites to produce high refractive index materials at centimetre wavelengths,"L. Parke, I. R. Hooper, R. J. Hicken, C. E. J. Dancer, P. S. Grant, I. J. Youngs, J. R. Sambles, A. P. Hibbins",2013-07-24,2013-09-03,2013-10-04
2013,4,11,Synergistic effects of interfacial modifiers enhance current and voltage in hybrid solar cells,"Jonas Weickert, Eugen Zimmermann, Julian B. Reindl, Thomas Pfadler, James A. Dorman, Annamaria Petrozza, Lukas Schmidt-Mende",2013-07-29,2013-09-05,2013-10-08
2013,4,12,Ideal design of textured LiCoO2 sintered electrode for Li-ion secondary battery,"Hideto Yamada, Tohru S. Suzuki, Tetsuo Uchikoshi, Masato Hozumi, Toshiya Saito, Yoshio Sakka",2013-07-17,2013-09-11,2013-10-10
2013,4,13,Structural and electronic properties of hybrid perovskites for high-efficiency thin-film photovoltaics from first-principles,"Federico Brivio, Alison B. Walker, Aron Walsh",2013-08-14,2013-09-20,2013-10-10
2013,4,14,Adsorption-controlled growth of BiVO4 by molecular-beam epitaxy,"S. Stoughton, M. Showak, Q. Mao, P. Koirala, D. A. Hillsberry, S. Sallis, L. F. Kourkoutis, K. Nguyen, L. F. J. Piper, D. A. Tenne, N. J. Podraza, D. A. Muller, C. Adamo, D. G. Schlom",2013-04-29,2013-09-06,2013-10-11
2013,4,15,Control of oxygen sublattice structure in ultra-thin SrCuO2 films studied by X-ray photoelectron diffraction,"Bouwe Kuiper, D. Samal, Dave H. A. Blank, Johan E. ten Elshof, Guus Rijnders, Gertjan Koster",2013-08-02,2013-09-27,2013-10-11
2013,4,16,Green synthesis of selenium nanoparticles by excimer pulsed laser ablation in water,"O. Van Overschelde, G. Guisbiers, R. Snyders",2013-05-16,2013-09-20,2013-10-16
2013,4,17,Epitaxial Al2O3 capacitors for low microwave loss superconducting quantum circuits,"K.-H. Cho, U. Patel, J. Podkaminer, Y. Gao, C. M. Folkman, C. W. Bark, S. Lee, Y. Zhang, X. Q. Pan, R. McDermott, C. B. Eom",2013-06-12,2013-08-22,2013-10-21
2013,4,18,Fluorescent polystyrene photonic crystals self-assembled with water-soluble conjugated polyrotaxanes,"Francesco Di Stasio, Luca Berti, Shane O. McDonnell, Valentina Robbiano, Harry L. Anderson, Davide Comoretto, Franco Cacialli",2013-08-20,2013-10-10,2013-10-24
2013,4,19,Mechanics of silicon nitride thin-film stressors on a transistor-like geometry,"S. Reboh, P. Morin, M. J. Hÿtch, F. Houdellier, A. Claverie",2013-09-12,2013-10-10,2013-10-28
2013,4,20,High-pressure polyol synthesis of ultrathin silver nanowires: Electrical and optical properties,"Eun-Jong Lee, Min-Hwa Chang, Youn-Soo Kim, Jin-Yeol Kim",2013-07-24,2013-10-07,2013-10-31
2013,5,1,Research Update: Polyimide/CaCu3Ti4O12 nanofiber functional hybrid films with improved dielectric properties,"Yang Yang, Ziyu Wang, Yi Ding, Zhihong Lu, Haoliang Sun, Ya Li, Jianhong Wei, Rui Xiong, Jing Shi, Zhengyou Liu, Qingquan Lei",2013-08-31,2013-10-11,2013-11-01
2013,5,2,Research Updates: Epitaxial strain relaxation and associated interfacial reconstructions: The driving force for creating new structures with integrated functionality,"Yuanyuan Zhu, Aiping Chen, Honghui Zhou, Wenrui Zhang, Jagdish Narayan, Judith L. MacManus-Driscoll, Quanxi Jia, Haiyan Wang",2013-07-23,2013-10-23,2013-11-11
2013,5,3,Tin-phosphate glass anode for sodium ion batteries,"Tsuyoshi Honma, Takuya Togashi, Hiroatsu Kondo, Takayuki Komatsu, Hideo Yamauchi, Akihiko Sakamoto, Tetsuo Sakai",2013-08-18,2013-10-11,2013-11-05
2013,5,4,Untilting BiFeO3: The influence of substrate boundary conditions in ultra-thin BiFeO3 on SrTiO3,"Yongsoo Yang, Christian M. Schlepütz, Carolina Adamo, Darrell G. Schlom, Roy Clarke",2013-08-05,2013-10-14,2013-11-06
2013,5,5,Optimum high temperature strength of two-dimensional nanocomposites,"M. A. Monclús, S. J. Zheng, J. R. Mayeur, I. J. Beyerlein, N. A. Mara, T. Polcar, J. Llorca, J. M. Molina-Aldareguía",2013-08-30,2013-10-22,2013-11-07
2013,5,6,Study of second phase in bioabsorbable magnesium alloys: Phase stability evaluation via Dmol3 calculation,"Huazhe Yang, Chen Liu, Peng Wan, Lili Tan, Ke Yang",2013-08-25,2013-10-23,2013-11-08
2013,5,7,Interfacial free energies determined from binary embedded alloy nanocluster geometry,"C. N. Boswell-Koller, S. J. Shin, J. Guzman, M. P. Sherburne, K. C. Bustillo, C. A. Sawyer, J. P. Mastandrea, J. W. Beeman, J. W. Ager, III, E. E. Haller, D. C. Chrzan",2013-07-09,2013-10-23,2013-11-12
2013,5,8,Effects of electrode material and configuration on the characteristics of planar resistive switching devices,"H. Y. Peng, L. Pu, J. C. Wu, D. Cha, J. H. Hong, W. N. Lin, Y. Y. Li, J. F. Ding, A. David, K. Li, T. Wu",2013-06-19,2013-10-14,2013-11-13
2013,5,9,Phase transition enhanced thermoelectric figure-of-merit in copper chalcogenides,"David R. Brown, Tristan Day, Kasper A. Borup, Sebastian Christensen, Bo B. Iversen, G. Jeffrey Snyder",2013-08-16,2013-10-17,2013-11-14
2013,5,10,Poly (N-isopropylacrylamide) microgel-based etalons and etalon arrays for determining the molecular weight of polymers in solution,"Molla R. Islam, Michael J. Serpe",2013-07-03,2013-10-23,2013-11-15
2013,5,11,Onset of vertical threading dislocations in Si1−xGex/Si (001) at a critical Ge concentration,"Fabio Isa, Anna Marzegalli, Alfonso G. Taboada, Claudiu V. Falub, Giovanni Isella, Francesco Montalenti, Hans von Känel, Leo Miglio",2013-08-09,2013-10-30,2013-11-18
2013,5,12,Direct imaging of LaAlO3/SrTiO3 nanostructures using piezoresponse force microscopy,"Mengchen Huang, Feng Bi, Sangwoo Ryu, Chang-Beom Eom, Patrick Irvin, Jeremy Levy",2013-08-20,2013-11-05,2013-11-19
2013,5,13,Tuning cationic composition of La:EuTiO3−δ films,"Andrey Shkabko, Chencheng Xu, Paul Meuffels, Felix Gunkel, Regina Dittmann, Anke Weidenkaff, Rainer Waser",2013-09-02,2013-11-05,2013-11-26
2013,6,1,Research Update: Doping ZnO and TiO2 for solar cells,"Robert L. Z. Hoye, Kevin P. Musselman, Judith L. MacManus-Driscoll",2013-10-14,2013-11-09,2013-12-02
2013,6,2,Kinetics of germanium nanowire growth by the vapor-solid-solid mechanism with a Ni-based catalyst,"Shruti V. Thombare, Ann F. Marshall, Paul C. McIntyre",2013-09-13,2013-11-11,2013-12-03
2013,6,3,Unusual crystallization behavior in Ga-Sb phase change alloys,"Magali Putero, Marie-Vanessa Coulet, Toufik Ouled-Khachroum, Christophe Muller, Carsten Baehtz, Simone Raoux",2013-09-25,2013-11-09,2013-12-02
2013,6,4,Correlated evolution of colossal thermoelectric effect and Kondo insulating behavior,"M. K. Fuccillo, Q. D. Gibson, Mazhar N. Ali, L. M. Schoop, R. J. Cava",2013-10-11,2013-11-11,2013-12-02
2013,6,5,Pulsed laser deposited Si on multilayer graphene as anode material for lithium ion batteries,"Gouri Radhakrishnan, Paul M. Adams, Brendan Foran, Michael V. Quinzio, Miles J. Brodie",2013-10-10,2013-11-14,2013-12-02
2013,6,6,Bioorganic nanodots for non-volatile memory devices,"Nadav Amdursky, Gil Shalev, Amir Handelman, Simon Litsyn, Amir Natan, Yakov Roizin, Yossi Rosenwaks, Daniel Szwarcman, Gil Rosenman",2013-08-02,2013-11-20,2013-12-10
2013,6,7,Electrical and microstructure analysis of nickel-based low-resistance ohmic contacts to n-GaSb,"Nassim Rahimi, Andrew A. Aragon, Orlando S. Romero, Darryl M. Shima, Thomas J. Rotter, Sayan D. Mukherjee, Ganesh Balakrishnan, Luke F. Lester",2013-09-25,2013-11-25,2013-12-10
2013,6,8,"NaLaF4:Pr3+,Yb3+, an efficient blue to near infra-red quantum cutter","A. Guille, A. Pereira, B. Moine",2013-07-26,2013-11-26,2013-12-10
2013,6,9,La-doped BaTiO3 heterostructures: Compensating the polarization discontinuity,"D. P. Kumah, Y. Yacoby, S. A. Pauli, P. R. Willmott, R. Clarke",2013-09-20,2013-12-04,2013-12-18
2014,1,1,Research Update: Molecular electronics: The single-molecule switch and transistor,"Kai Sotthewes, Victor Geskin, René Heimbuch, Avijit Kumar, Harold J. W. Zandvliet",2013-10-15,2013-12-11,2014-01-02
2014,1,2,Research Update: Progress in synthesis of nanoparticle dimers by self-assembly,"Yuri Diaz Fernandez, Lanlan Sun, Tina Gschneidtner, Kasper Moth-Poulsen",2013-09-27,2013-12-12,2014-01-07
2014,1,3,Research Update: Strategies for efficient photoelectrochemical water splitting using metal oxide photoanodes,"Seungho Cho, Ji-Wook Jang, Kun-Hong Lee, Jae Sung Lee",2013-11-04,2013-12-30,2014-01-31
2014,1,4,"Origin of improved scintillation efficiency in (Lu,Gd)3(Ga,Al)5O12:Ce multicomponent garnets: An X-ray absorption near edge spectroscopy study","Yuntao Wu, Jialiang Luo, Martin Nikl, Guohao Ren",2013-11-22,2013-12-10,2014-01-02
2014,1,5,Fabricating superconducting interfaces between artificially grown LaAlO3 and SrTiO3 thin films,"Danfeng Li, Stefano Gariglio, Claudia Cancellieri, Alexandre Fête, Daniela Stornaiuolo, Jean-Marc Triscone",2013-09-18,2013-12-06,2014-01-06
2014,1,6,Diversity of hydrogen configuration and its roles in SrTiO3−δ,"Yoshiki Iwazaki, Yoshihiro Gohda, Shinji Tsuneyuki",2013-10-24,2013-12-10,2014-01-08
2014,1,7,Aqueous synthesis of CdS and CdSe/CdS tetrapods for photocatalytic hydrogen generation,"A. Vaneski, J. Schneider, A. S. Susha, A. L. Rogach",2013-11-20,2013-12-11,2014-01-08
2014,1,8,Real-time observation of nanoscale topological transitions in epitaxial PbTe/CdTe heterostructures,"H. Groiss, I. Daruka, K. Koike, M. Yano, G. Hesser, G. Springholz, N. Zakharov, P. Werner, F. Schäffler",2013-11-21,2013-12-17,2014-01-10
2014,1,9,Intrinsic magnetic properties of hexagonal LuFeO3 and the effects of nonstoichiometry,"Jarrett A. Moyer, Rajiv Misra, Julia A. Mundy, Charles M. Brooks, John T. Heron, David A. Muller, Darrell G. Schlom, Peter Schiffer",2013-11-04,2013-12-26,2014-01-21
2014,1,10,Strongly confining bare core CdTe quantum dots in polymeric microdisk resonators,"Assegid Flatae, Tobias Grossmann, Torsten Beck, Sarah Wiegele, Heinz Kalt",2013-10-20,2014-01-03,2014-01-21
2014,1,11,Observation of strontium segregation in LaAlO3/SrTiO3 and NdGaO3/SrTiO3 oxide heterostructures by X-ray photoemission spectroscopy,"Uwe Treske, Nadine Heming, Martin Knupfer, Bernd Büchner, Andreas Koitzsch, Emiliano Di Gennaro, Umberto Scotti di Uccio, Fabio Miletto Granozio, Stefan Krause",2013-10-28,2013-12-27,2014-01-24
2014,1,12,Size-dependent mobility of gold nano-clusters during growth on chemically modified graphene,"Gavin R. Bell, Peter M. Dawson, Priyanka A. Pandey, Neil R. Wilson, Paul A. Mulheran",2013-11-21,2014-01-08,2014-01-24
2014,1,13,"Strain tuning of native defect populations: The case of Cu2ZnSn(S,Se)4","Junyi Zhu, Feng Liu, Michael A. Scarpulla",2013-11-29,2014-01-11,2014-01-27
2014,1,14,"Constrained, aqueous growth of three-dimensional single crystalline zinc oxide structures","Kathryn J. Pooley, John H. Joo, Evelyn L. Hu",2013-12-10,2014-01-09,2014-01-28
2014,1,15,Electronic structure of Al- and Ga-doped ZnO films studied by hard X-ray photoelectron spectroscopy,"M. Gabás, P. Torelli, N. T. Barrett, M. Sacchi, José R. Ramos Barrado",2013-11-29,2014-01-17,2014-01-31
2014,1,16,Reduction of the thermal conductivity in free-standing silicon nano-membranes investigated by non-invasive Raman thermometry,"E. Chávez-Ángel, J. S. Reparaz, J. Gomis-Bresco, M. R. Wagner, J. Cuffe, B. Graczykowski, A. Shchepetov, H. Jiang, M. Prunnila, J. Ahopelto, F. Alzina, C. M. Sotomayor Torres",2013-10-24,2013-12-27,2014-01-31
2014,2,1,Temperature-dependent morphology of hybrid nanoflowers from elastin-like polypeptides,"Koushik Ghosh, Eva Rose M. Balog, Prakash Sista, Darrick J. Williams, Daniel Kelly, Jennifer S. Martinez, Reginaldo C. Rocha",2013-11-20,2014-01-14,2014-02-03
2014,2,2,Octahedral rotations in strained LaAlO3/SrTiO3 (001) heterostructures,"T. T. Fister, H. Zhou, Z. Luo, S. S. A. Seo, S. O. Hruszkewycz, D. L. Proffit, J. A. Eastman, P. H. Fuoss, P. M. Baldo, H. N. Lee, D. D. Fong",2013-11-08,2014-01-29,2014-02-11
2014,2,3,Patterned electrochemical deposition of copper using an electron beam,"Mark den Heijer, Ingrid Shao, Alex Radisic, Mark C. Reuter, Frances M. Ross",2013-11-25,2014-01-15,2014-02-03
2014,2,4,Quantum oscillations and subband properties of the two-dimensional electron gas at the LaAlO3/SrTiO3 interface,"A. McCollam, S. Wenderich, M. K. Kruize, V. K. Guduru, H. J. A. Molegraaf, M. Huijben, G. Koster, D. H. A. Blank, G. Rijnders, A. Brinkman, H. Hilgenkamp, U. Zeitler, J. C. Maan",2013-12-14,2014-01-19,2014-02-04
2014,2,5,Self-organized internal architectures of chiral micro-particles,"Clementina Provenzano, Alfredo Mazzulla, Pasquale Pagliusi, Maria P. De Santo, Giovanni Desiderio, Ida Perrotta, Gabriella Cipparrone",2013-12-06,2014-01-20,2014-02-05
2014,2,6,Boron- and phosphorus-doped silicon germanium alloy nanocrystals—Nonthermal plasma synthesis and gas-phase thin film deposition,"David J. Rowe, Uwe R. Kortshagen",2013-08-14,2014-01-27,2014-02-12
